Identifier,Code,Date Accepted,Status,Accrual Method,Title,Alternative Title,Description,Genre,Subject,Format,Type,Geometry Type,Keywords,Date Issued,Temporal Coverage,Date,Spatial Coverage,Bounding Box,Centroid,Provenance,Is Part Of,Creator,References
0252C09F-D674-4175-8302-2D66DA6D39A5,10b-01,2019-08-08,Active,ArcGIS Metadata,"Parcels: GreenLake County, Wisconsin, 2019","Parcels GreenLake County, WI 2019","This is the final deliverable for the Version 5 Statewide Parcel Map Database Project (V5). The V5 Project successfully aggregated all known digital parcel datasets within the state. The resulting statewide GIS parcel layer totaling 3.5 million parcels was made publicly available online on June 30, 2019. See the V5 Project Homepage for more detail on the parameters for how data was prepared and submitted to this project: https://www.sco.wisc.edu/parcels/submission/.Schema documentation can be found within this feature class metadata and in the schema documentation: https://www.sco.wisc.edu/parcels/data/assets/V5/V5_Wisconsin_Statewide_Parcels_Schema_Documentation.pdf.Missing Data & Known Gaps. This database reflects all known taxable and non-taxable parcels in Wisconsin available in GIS format. Most attribute information that is known to exist is populated. Some attribute information is incomplete. Blank spaces or values indicate either no data was submitted or is/was not applicable to a specific parcel. In some cases, it is appropriate for blank spaces to exist due to the nature of the data (e.g., a parcel without an improved structure might not have a site address).Owner Name Attribute. For the majority of counties, attribute information is populated for parcel owner name. In some cases, counties or cities opted out from including owner information in the statewide database. Per a county board resolution, one county has implemented complete owner name redaction—Kenosha County. Eight other counties have partial owner name redaction.Change log and known issues can be found here: https://www.sco.wisc.edu/parcels/data/assets/Wisconsin_Statewide_Parcels_Change_Log.pdf.",Geospatial data,Planning and Cadastral,Geodatabase,Dataset,Polygon,Real Property|Property Boundary Maps|Plat,2019-07-03,2019,2019,"Green Lake County, Wisconsin, United States|Wisconsin, United States","ENVELOPE(-89.246785,-88.879478,43.986146,43.629719)","43.8079325,-89.0631315",Wisconsin,Counties Geospatial Data,The Wisconsin State Cartographer's Office,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/GreenLake_Parcels_2019.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://btaagdp.org/metadata/10/GreenLake_Parcels_2019.xml"",""http://schema.org/url"":""https://www.sco.wisc.edu/parcels/data""}"
04CDE6CE-BBA6-449B-A967-0384AA40FD65,10b-01,2019-08-08,Active,ArcGIS Metadata,"Parcels: Outagamie County, Wisconsin, 2019","Parcels Outagamie County, WI 2019","This is the final deliverable for the Version 5 Statewide Parcel Map Database Project (V5). The V5 Project successfully aggregated all known digital parcel datasets within the state. The resulting statewide GIS parcel layer totaling 3.5 million parcels was made publicly available online on June 30, 2019. See the V5 Project Homepage for more detail on the parameters for how data was prepared and submitted to this project: https://www.sco.wisc.edu/parcels/submission/.Schema documentation can be found within this feature class metadata and in the schema documentation: https://www.sco.wisc.edu/parcels/data/assets/V5/V5_Wisconsin_Statewide_Parcels_Schema_Documentation.pdf.Missing Data & Known Gaps. This database reflects all known taxable and non-taxable parcels in Wisconsin available in GIS format. Most attribute information that is known to exist is populated. Some attribute information is incomplete. Blank spaces or values indicate either no data was submitted or is/was not applicable to a specific parcel. In some cases, it is appropriate for blank spaces to exist due to the nature of the data (e.g., a parcel without an improved structure might not have a site address).Owner Name Attribute. For the majority of counties, attribute information is populated for parcel owner name. In some cases, counties or cities opted out from including owner information in the statewide database. Per a county board resolution, one county has implemented complete owner name redaction—Kenosha County. Eight other counties have partial owner name redaction.Change log and known issues can be found here: https://www.sco.wisc.edu/parcels/data/assets/Wisconsin_Statewide_Parcels_Change_Log.pdf.",Geospatial data,Planning and Cadastral,Geodatabase,Dataset,Polygon,Real Property|Property Boundary Maps|Plat,2019-07-03,2019,2019,"Outagamie County, Wisconsin, United States|Wisconsin, United States","ENVELOPE(-88.744258,-88.181691,44.594155,44.236019)","44.415087,-88.4629745",Wisconsin,Counties Geospatial Data,The Wisconsin State Cartographer's Office,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Outagamie_Parcels_2019.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://btaagdp.org/metadata/10/Outagamie_Parcels_2019.xml"",""http://schema.org/url"":""https://www.sco.wisc.edu/parcels/data""}"
0854BD4C-C7F8-4422-8FB2-D1F42DBEF6D3,10b-01,2019-08-08,Active,ArcGIS Metadata,"Parcels: Dunn County, Wisconsin, 2019","Parcels Dunn County, WI 2019","This is the final deliverable for the Version 5 Statewide Parcel Map Database Project (V5). The V5 Project successfully aggregated all known digital parcel datasets within the state. The resulting statewide GIS parcel layer totaling 3.5 million parcels was made publicly available online on June 30, 2019. See the V5 Project Homepage for more detail on the parameters for how data was prepared and submitted to this project: https://www.sco.wisc.edu/parcels/submission/.Schema documentation can be found within this feature class metadata and in the schema documentation: https://www.sco.wisc.edu/parcels/data/assets/V5/V5_Wisconsin_Statewide_Parcels_Schema_Documentation.pdf.Missing Data & Known Gaps. This database reflects all known taxable and non-taxable parcels in Wisconsin available in GIS format. Most attribute information that is known to exist is populated. Some attribute information is incomplete. Blank spaces or values indicate either no data was submitted or is/was not applicable to a specific parcel. In some cases, it is appropriate for blank spaces to exist due to the nature of the data (e.g., a parcel without an improved structure might not have a site address).Owner Name Attribute. For the majority of counties, attribute information is populated for parcel owner name. In some cases, counties or cities opted out from including owner information in the statewide database. Per a county board resolution, one county has implemented complete owner name redaction—Kenosha County. Eight other counties have partial owner name redaction.Change log and known issues can be found here: https://www.sco.wisc.edu/parcels/data/assets/Wisconsin_Statewide_Parcels_Change_Log.pdf.",Geospatial data,Planning and Cadastral,Geodatabase,Dataset,Polygon,Real Property|Property Boundary Maps|Plat,2019-07-03,2019,2019,"Dunn County, Wisconsin, United States|Wisconsin, United States","ENVELOPE(-92.160388,-91.639004,45.217902,44.675497)","44.9466995,-91.899696",Wisconsin,Counties Geospatial Data,The Wisconsin State Cartographer's Office,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Dunn_Parcels_2019.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://btaagdp.org/metadata/10/Dunn_Parcels_2019.xml"",""http://schema.org/url"":""https://www.sco.wisc.edu/parcels/data""}"
14D6D0FA-2590-4C62-9DB8-BDB35E99D4EF,10b-01,2019-08-08,Active,ArcGIS Metadata,"Parcels: Fond du Lac County, Wisconsin, 2019","Parcels Fond du Lac County, WI 2019","This is the final deliverable for the Version 5 Statewide Parcel Map Database Project (V5). The V5 Project successfully aggregated all known digital parcel datasets within the state. The resulting statewide GIS parcel layer totaling 3.5 million parcels was made publicly available online on June 30, 2019. See the V5 Project Homepage for more detail on the parameters for how data was prepared and submitted to this project: https://www.sco.wisc.edu/parcels/submission/.Schema documentation can be found within this feature class metadata and in the schema documentation: https://www.sco.wisc.edu/parcels/data/assets/V5/V5_Wisconsin_Statewide_Parcels_Schema_Documentation.pdf.Missing Data & Known Gaps. This database reflects all known taxable and non-taxable parcels in Wisconsin available in GIS format. Most attribute information that is known to exist is populated. Some attribute information is incomplete. Blank spaces or values indicate either no data was submitted or is/was not applicable to a specific parcel. In some cases, it is appropriate for blank spaces to exist due to the nature of the data (e.g., a parcel without an improved structure might not have a site address).Owner Name Attribute. For the majority of counties, attribute information is populated for parcel owner name. In some cases, counties or cities opted out from including owner information in the statewide database. Per a county board resolution, one county has implemented complete owner name redaction—Kenosha County. Eight other counties have partial owner name redaction.Change log and known issues can be found here: https://www.sco.wisc.edu/parcels/data/assets/Wisconsin_Statewide_Parcels_Change_Log.pdf.",Geospatial data,Planning and Cadastral,Geodatabase,Dataset,Polygon,Real Property|Property Boundary Maps|Plat,2019-07-03,2019,2019,"Fond_du_Lac County, Wisconsin, United States|Wisconsin, United States","ENVELOPE(-88.89209,-88.148781,43.947027,43.539951)","43.743489,-88.5204355",Wisconsin,Counties Geospatial Data,The Wisconsin State Cartographer's Office,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Fond_du_Lac_Parcels_2019.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://btaagdp.org/metadata/10/Fond_du_Lac_Parcels_2019.xml"",""http://schema.org/url"":""https://www.sco.wisc.edu/parcels/data""}"
162AFD2C-3374-4821-8FAB-D708A47109BB,10b-01,2019-08-08,Active,ArcGIS Metadata,"Parcels: Portage County, Wisconsin, 2019","Parcels Portage County, WI 2019","This is the final deliverable for the Version 5 Statewide Parcel Map Database Project (V5). The V5 Project successfully aggregated all known digital parcel datasets within the state. The resulting statewide GIS parcel layer totaling 3.5 million parcels was made publicly available online on June 30, 2019. See the V5 Project Homepage for more detail on the parameters for how data was prepared and submitted to this project: https://www.sco.wisc.edu/parcels/submission/.Schema documentation can be found within this feature class metadata and in the schema documentation: https://www.sco.wisc.edu/parcels/data/assets/V5/V5_Wisconsin_Statewide_Parcels_Schema_Documentation.pdf.Missing Data & Known Gaps. This database reflects all known taxable and non-taxable parcels in Wisconsin available in GIS format. Most attribute information that is known to exist is populated. Some attribute information is incomplete. Blank spaces or values indicate either no data was submitted or is/was not applicable to a specific parcel. In some cases, it is appropriate for blank spaces to exist due to the nature of the data (e.g., a parcel without an improved structure might not have a site address).Owner Name Attribute. For the majority of counties, attribute information is populated for parcel owner name. In some cases, counties or cities opted out from including owner information in the statewide database. Per a county board resolution, one county has implemented complete owner name redaction—Kenosha County. Eight other counties have partial owner name redaction.Change log and known issues can be found here: https://www.sco.wisc.edu/parcels/data/assets/Wisconsin_Statewide_Parcels_Change_Log.pdf.",Geospatial data,Planning and Cadastral,Geodatabase,Dataset,Polygon,Real Property|Property Boundary Maps|Plat,2019-07-03,2019,2019,"Portage County, Wisconsin, United States|Wisconsin, United States","ENVELOPE(-89.846433,-89.218932,44.686887,44.242543)","44.464715,-89.5326825",Wisconsin,Counties Geospatial Data,The Wisconsin State Cartographer's Office,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Portage_Parcels_2019.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://btaagdp.org/metadata/10/Portage_Parcels_2019.xml"",""http://schema.org/url"":""https://www.sco.wisc.edu/parcels/data""}"
17165D42-3D0F-4533-98C0-2947425BD408,10b-01,2019-08-08,Active,ArcGIS Metadata,"Parcels: Grant County, Wisconsin, 2019","Parcels Grant County, WI 2019","This is the final deliverable for the Version 5 Statewide Parcel Map Database Project (V5). The V5 Project successfully aggregated all known digital parcel datasets within the state. The resulting statewide GIS parcel layer totaling 3.5 million parcels was made publicly available online on June 30, 2019. See the V5 Project Homepage for more detail on the parameters for how data was prepared and submitted to this project: https://www.sco.wisc.edu/parcels/submission/.Schema documentation can be found within this feature class metadata and in the schema documentation: https://www.sco.wisc.edu/parcels/data/assets/V5/V5_Wisconsin_Statewide_Parcels_Schema_Documentation.pdf.Missing Data & Known Gaps. This database reflects all known taxable and non-taxable parcels in Wisconsin available in GIS format. Most attribute information that is known to exist is populated. Some attribute information is incomplete. Blank spaces or values indicate either no data was submitted or is/was not applicable to a specific parcel. In some cases, it is appropriate for blank spaces to exist due to the nature of the data (e.g., a parcel without an improved structure might not have a site address).Owner Name Attribute. For the majority of counties, attribute information is populated for parcel owner name. In some cases, counties or cities opted out from including owner information in the statewide database. Per a county board resolution, one county has implemented complete owner name redaction—Kenosha County. Eight other counties have partial owner name redaction.Change log and known issues can be found here: https://www.sco.wisc.edu/parcels/data/assets/Wisconsin_Statewide_Parcels_Change_Log.pdf.",Geospatial data,Planning and Cadastral,Geodatabase,Dataset,Polygon,Real Property|Property Boundary Maps|Plat,2019-07-03,2019,2019,"Grant County, Wisconsin, United States|Wisconsin, United States","ENVELOPE(-91.149354,-90.424503,43.208122,42.502348)","42.855235,-90.7869285",Wisconsin,Counties Geospatial Data,The Wisconsin State Cartographer's Office,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Grant_Parcels_2019.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://btaagdp.org/metadata/10/Grant_Parcels_2019.xml"",""http://schema.org/url"":""https://www.sco.wisc.edu/parcels/data""}"
174A84E7-E8D5-4078-851D-675EF14ABC3A,10b-01,2019-08-08,Active,ArcGIS Metadata,"Parcels: Richland County, Wisconsin, 2019","Parcels Richland County, WI 2019","This is the final deliverable for the Version 5 Statewide Parcel Map Database Project (V5). The V5 Project successfully aggregated all known digital parcel datasets within the state. The resulting statewide GIS parcel layer totaling 3.5 million parcels was made publicly available online on June 30, 2019. See the V5 Project Homepage for more detail on the parameters for how data was prepared and submitted to this project: https://www.sco.wisc.edu/parcels/submission/.Schema documentation can be found within this feature class metadata and in the schema documentation: https://www.sco.wisc.edu/parcels/data/assets/V5/V5_Wisconsin_Statewide_Parcels_Schema_Documentation.pdf.Missing Data & Known Gaps. This database reflects all known taxable and non-taxable parcels in Wisconsin available in GIS format. Most attribute information that is known to exist is populated. Some attribute information is incomplete. Blank spaces or values indicate either no data was submitted or is/was not applicable to a specific parcel. In some cases, it is appropriate for blank spaces to exist due to the nature of the data (e.g., a parcel without an improved structure might not have a site address).Owner Name Attribute. For the majority of counties, attribute information is populated for parcel owner name. In some cases, counties or cities opted out from including owner information in the statewide database. Per a county board resolution, one county has implemented complete owner name redaction—Kenosha County. Eight other counties have partial owner name redaction.Change log and known issues can be found here: https://www.sco.wisc.edu/parcels/data/assets/Wisconsin_Statewide_Parcels_Change_Log.pdf.",Geospatial data,Planning and Cadastral,Geodatabase,Dataset,Polygon,Real Property|Property Boundary Maps|Plat,2019-07-03,2019,2019,"Richland County, Wisconsin, United States|Wisconsin, United States","ENVELOPE(-90.671718,-90.190763,43.554984,43.163155)","43.3590695,-90.4312405",Wisconsin,Counties Geospatial Data,The Wisconsin State Cartographer's Office,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Richland_Parcels_2019.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://btaagdp.org/metadata/10/Richland_Parcels_2019.xml"",""http://schema.org/url"":""https://www.sco.wisc.edu/parcels/data""}"
1E678BA2-FC1D-44F4-B8B7-628DD0D11F04,10b-01,2019-08-08,Active,ArcGIS Metadata,"Parcels: Columbia County, Wisconsin, 2019","Parcels Columbia County, WI 2019","This is the final deliverable for the Version 5 Statewide Parcel Map Database Project (V5). The V5 Project successfully aggregated all known digital parcel datasets within the state. The resulting statewide GIS parcel layer totaling 3.5 million parcels was made publicly available online on June 30, 2019. See the V5 Project Homepage for more detail on the parameters for how data was prepared and submitted to this project: https://www.sco.wisc.edu/parcels/submission/.Schema documentation can be found within this feature class metadata and in the schema documentation: https://www.sco.wisc.edu/parcels/data/assets/V5/V5_Wisconsin_Statewide_Parcels_Schema_Documentation.pdf.Missing Data & Known Gaps. This database reflects all known taxable and non-taxable parcels in Wisconsin available in GIS format. Most attribute information that is known to exist is populated. Some attribute information is incomplete. Blank spaces or values indicate either no data was submitted or is/was not applicable to a specific parcel. In some cases, it is appropriate for blank spaces to exist due to the nature of the data (e.g., a parcel without an improved structure might not have a site address).Owner Name Attribute. For the majority of counties, attribute information is populated for parcel owner name. In some cases, counties or cities opted out from including owner information in the statewide database. Per a county board resolution, one county has implemented complete owner name redaction—Kenosha County. Eight other counties have partial owner name redaction.Change log and known issues can be found here: https://www.sco.wisc.edu/parcels/data/assets/Wisconsin_Statewide_Parcels_Change_Log.pdf.",Geospatial data,Planning and Cadastral,Geodatabase,Dataset,Polygon,Real Property|Property Boundary Maps|Plat,2019-07-03,2019,2019,"Columbia County, Wisconsin, United States|Wisconsin, United States","ENVELOPE(-89.785921,-89.000019,43.646802,43.278615)","43.4627085,-89.39297",Wisconsin,Counties Geospatial Data,The Wisconsin State Cartographer's Office,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Columbia_Parcels_2019.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://btaagdp.org/metadata/10/Columbia_Parcels_2019.xml"",""http://schema.org/url"":""https://www.sco.wisc.edu/parcels/data""}"
390111A7-6784-43B5-89EA-1EE77B0EC42D,10b-01,2019-08-08,Active,ArcGIS Metadata,"Parcels: Ashland County, Wisconsin, 2019","Parcels Ashland County, WI 2019","This is the final deliverable for the Version 5 Statewide Parcel Map Database Project (V5). The V5 Project successfully aggregated all known digital parcel datasets within the state. The resulting statewide GIS parcel layer totaling 3.5 million parcels was made publicly available online on June 30, 2019. See the V5 Project Homepage for more detail on the parameters for how data was prepared and submitted to this project: https://www.sco.wisc.edu/parcels/submission/.Schema documentation can be found within this feature class metadata and in the schema documentation: https://www.sco.wisc.edu/parcels/data/assets/V5/V5_Wisconsin_Statewide_Parcels_Schema_Documentation.pdf.Missing Data & Known Gaps. This database reflects all known taxable and non-taxable parcels in Wisconsin available in GIS format. Most attribute information that is known to exist is populated. Some attribute information is incomplete. Blank spaces or values indicate either no data was submitted or is/was not applicable to a specific parcel. In some cases, it is appropriate for blank spaces to exist due to the nature of the data (e.g., a parcel without an improved structure might not have a site address).Owner Name Attribute. For the majority of counties, attribute information is populated for parcel owner name. In some cases, counties or cities opted out from including owner information in the statewide database. Per a county board resolution, one county has implemented complete owner name redaction—Kenosha County. Eight other counties have partial owner name redaction.Change log and known issues can be found here: https://www.sco.wisc.edu/parcels/data/assets/Wisconsin_Statewide_Parcels_Change_Log.pdf.",Geospatial data,Planning and Cadastral,Geodatabase,Dataset,Polygon,Real Property|Property Boundary Maps|Plat,2019-07-03,2019,2019,"Ashland County, Wisconsin, United States|Wisconsin, United States","ENVELOPE(-90.944444,-90.299812,47.082631,45.978171)","46.530401,-90.622128",Wisconsin,Counties Geospatial Data,The Wisconsin State Cartographer's Office,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Ashland_Parcels_2019.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://btaagdp.org/metadata/10/Ashland_Parcels_2019.xml"",""http://schema.org/url"":""https://www.sco.wisc.edu/parcels/data""}"
404C3EA6-26B3-44FD-8B02-46455E96A2FC,10b-01,2019-08-08,Active,ArcGIS Metadata,"Parcels: Vernon County, Wisconsin, 2019","Parcels Vernon County, WI 2019","This is the final deliverable for the Version 5 Statewide Parcel Map Database Project (V5). The V5 Project successfully aggregated all known digital parcel datasets within the state. The resulting statewide GIS parcel layer totaling 3.5 million parcels was made publicly available online on June 30, 2019. See the V5 Project Homepage for more detail on the parameters for how data was prepared and submitted to this project: https://www.sco.wisc.edu/parcels/submission/.Schema documentation can be found within this feature class metadata and in the schema documentation: https://www.sco.wisc.edu/parcels/data/assets/V5/V5_Wisconsin_Statewide_Parcels_Schema_Documentation.pdf.Missing Data & Known Gaps. This database reflects all known taxable and non-taxable parcels in Wisconsin available in GIS format. Most attribute information that is known to exist is populated. Some attribute information is incomplete. Blank spaces or values indicate either no data was submitted or is/was not applicable to a specific parcel. In some cases, it is appropriate for blank spaces to exist due to the nature of the data (e.g., a parcel without an improved structure might not have a site address).Owner Name Attribute. For the majority of counties, attribute information is populated for parcel owner name. In some cases, counties or cities opted out from including owner information in the statewide database. Per a county board resolution, one county has implemented complete owner name redaction—Kenosha County. Eight other counties have partial owner name redaction.Change log and known issues can be found here: https://www.sco.wisc.edu/parcels/data/assets/Wisconsin_Statewide_Parcels_Change_Log.pdf.",Geospatial data,Planning and Cadastral,Geodatabase,Dataset,Polygon,Real Property|Property Boundary Maps|Plat,2019-07-03,2019,2019,"Vernon County, Wisconsin, United States|Wisconsin, United States","ENVELOPE(-91.233523,-90.310404,43.731467,43.417796)","43.5746315,-90.7719635",Wisconsin,Counties Geospatial Data,The Wisconsin State Cartographer's Office,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Vernon_Parcels_2019.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://btaagdp.org/metadata/10/Vernon_Parcels_2019.xml"",""http://schema.org/url"":""https://www.sco.wisc.edu/parcels/data""}"
